day-mean,day-s,day-sd,day-ci,emArrivals-mean,emArrivals-s,emArrivals-sd,emArrivals-ci,elArrivals-mean,elArrivals-s,elArrivals-sd,elArrivals-ci,cArrivals-mean,cArrivals-s,cArrivals-sd,cArrivals-ci,icu-pat-moved-mean,icu-pat-moved-s,icu-pat-moved-sd,icu-pat-moved-ci,recovery-pat-moved-mean,recovery-pat-moved-s,recovery-pat-moved-sd,recovery-pat-moved-ci,pat-discharged-mean,pat-discharged-s,pat-discharged-sd,pat-discharged-ci,pat-died-mean,pat-died-s,pat-died-sd,pat-died-ci,em-capacity-mean,em-capacity-s,em-capacity-sd,em-capacity-ci,em-available-mean,em-available-s,em-available-sd,em-available-ci,emr-capacity-mean,emr-capacity-s,emr-capacity-sd,emr-capacity-ci,emr-available-mean,emr-available-s,emr-available-sd,emr-available-ci,el-capacity-mean,el-capacity-s,el-capacity-sd,el-capacity-ci,el-available-mean,el-available-s,el-available-sd,el-available-ci,elr-capacity-mean,elr-capacity-s,elr-capacity-sd,elr-capacity-ci,elr-available-mean,elr-available-s,elr-available-sd,elr-available-ci,c-capacity-mean,c-capacity-s,c-capacity-sd,c-capacity-ci,c-available-mean,c-available-s,c-available-sd,c-available-ci,cr-capacity-mean,cr-capacity-s,cr-capacity-sd,cr-capacity-ci,cr-available-mean,cr-available-s,cr-available-sd,cr-available-ci,zone1-type-mean,zone1-type-s,zone1-type-sd,zone1-type-ci,zone1-available-mean,zone1-available-s,zone1-available-sd,zone1-available-ci,zone2-type-mean,zone2-type-s,zone2-type-sd,zone2-type-ci,zone2-available-mean,zone2-available-s,zone2-available-sd,zone2-available-ci,zone3-type-mean,zone3-type-s,zone3-type-sd,zone3-type-ci,zone3-available-mean,zone3-available-s,zone3-available-sd,zone3-available-ci,zone4-type-mean,zone4-type-s,zone4-type-sd,zone4-type-ci,zone4-available-mean,zone4-available-s,zone4-available-sd,zone4-available-ci,zone5-type-mean,zone5-type-s,zone5-type-sd,zone5-type-ci,zone5-available-mean,zone5-available-s,zone5-available-sd,zone5-available-ci,zone6-type-mean,zone6-type-s,zone6-type-sd,zone6-type-ci,zone6-available-mean,zone6-available-s,zone6-available-sd,zone6-available-ci,zone7-type-mean,zone7-type-s,zone7-type-sd,zone7-type-ci,zone7-available-mean,zone7-available-s,zone7-available-sd,zone7-available-ci,zone8-type-mean,zone8-type-s,zone8-type-sd,zone8-type-ci,zone8-available-mean,zone8-available-s,zone8-available-sd,zone8-available-ci
0.0,0.0,0.0,0.0,10.8,48.800000000000004,3.492849839314596,3.0616178729554084,3.8,30.8,2.7748873851023217,2.432296034614208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,6.6,29.2,2.701851217221259,2.368277010824536,6.0,6.0,1.224744871391589,1.0735362127101253,1.0,0.0,0.0,0.0,12.0,26.0,2.5495097567963922,2.23474383319431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.8,4.8,1.0954451150103321,0.9601999791710057,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8,4.8,1.0954451150103321,0.9601999791710057,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,8.8,82.80000000000001,4.54972526643093,3.9880100300776578,5.8,6.800000000000001,1.3038404810405297,1.1428665713896788,5.0,0.0,0.0,0.0,26.4,135.20000000000002,5.813776741499454,5.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.4472135954999579,0.39199999999999996,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.4,3.2000000000000006,0.894427190999916,0.784,15.0,0.0,0.0,0.0,11.4,31.2,2.792848008753788,2.4480392153721717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,3.2000000000000006,0.894427190999916,0.784,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.4,31.2,2.792848008753788,2.4480392153721717,6.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,5.4,83.2,4.560701700396552,3.997631298656743,4.0,26.0,2.5495097567963922,2.23474383319431,5.0,0.0,0.0,0.0,35.6,233.20000000000002,7.63544366752843,6.692761462953839,0.0,0.0,0.0,0.0,4.6,31.2,2.792848008753788,2.4480392153721717,1.0,4.0,1.0,0.8765386471799175,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,79.99999999999999,4.472135954999579,3.919999999999999,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.4,11.2,1.6733200530681511,1.466729695615385,9.0,79.99999999999999,4.472135954999579,3.919999999999999,0.6,3.2000000000000006,0.894427190999916,0.784,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.2000000000000006,0.894427190999916,0.784,0.6,3.2000000000000006,0.894427190999916,0.784,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.4,11.2,1.6733200530681511,1.466729695615385,6.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,4.6,57.2,3.7815340802378077,3.314660766956402,4.2,14.8,1.9235384061671346,1.6860557523403548,0.0,0.0,0.0,0.0,43.8,140.8,5.932958789676531,5.200467671277266,0.0,0.0,0.0,0.0,9.2,8.8,1.4832396974191326,1.3001169178193166,2.2,6.8,1.3038404810405297,1.1428665713896788,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,79.99999999999999,4.472135954999579,3.919999999999999,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,11.8,4.800000000000001,1.0954451150103324,0.960199979171006,9.0,79.99999999999999,4.472135954999579,3.919999999999999,5.2,22.8,2.3874672772626644,2.092707337398137,15.0,0.0,0.0,0.0,14.2,0.7999999999999998,0.44721359549995787,0.3919999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.2000000000000006,0.894427190999916,0.784,4.2,22.799999999999997,2.3874672772626644,2.092707337398137,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.8,4.800000000000001,1.0954451150103324,0.960199979171006,6.0,0.0,0.0,0.0,14.2,0.7999999999999998,0.44721359549995787,0.3919999999999999
5.0,0.0,0.0,0.0,3.6,27.200000000000003,2.6076809620810595,2.2857331427793577,5.0,22.0,2.345207879911715,2.055665342413497,0.0,0.0,0.0,0.0,51.2,138.79999999999995,5.890670590009256,5.16340042994924,0.0,0.0,0.0,0.0,13.2,8.8,1.4832396974191326,1.3001169178193166,3.6,13.2,1.816590212458495,1.592311527308648,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,79.99999999999999,4.472135954999579,3.919999999999999,0.2,0.8000000000000002,0.447213595499958,0.392,15.0,0.0,0.0,0.0,13.8,28.799999999999997,2.6832815729997477,2.352,9.0,79.99999999999999,4.472135954999579,3.919999999999999,9.0,79.99999999999999,4.472135954999579,3.919999999999999,15.0,0.0,0.0,0.0,12.4,11.200000000000001,1.6733200530681511,1.466729695615385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.2000000000000006,0.894427190999916,0.784,8.2,64.8,4.024922359499621,3.5279999999999996,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.8,28.799999999999997,2.6832815729997477,2.352,6.0,0.0,0.0,0.0,12.4,11.200000000000001,1.6733200530681511,1.466729695615385
6.0,0.0,0.0,0.0,5.8,36.8,3.03315017762062,2.6586733533851046,5.6,5.199999999999999,1.1401754250991378,0.9994078246641855,0.0,0.0,0.0,0.0,61.0,67.99999999999999,4.12310562561766,3.6140614272588105,0.0,0.0,0.0,0.0,17.4,11.199999999999998,1.673320053068151,1.4667296956153848,4.0,16.0,2.0,1.753077294359835,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,79.99999999999999,4.472135954999579,3.919999999999999,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,14.4,7.199999999999999,1.3416407864998738,1.176,9.0,79.99999999999999,4.472135954999579,3.919999999999999,9.0,79.99999999999999,4.472135954999579,3.919999999999999,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.2000000000000006,0.894427190999916,0.784,8.0,79.99999999999999,4.472135954999579,3.919999999999999,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.4,7.199999999999999,1.3416407864998738,1.176,6.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,8.4,83.2,4.560701700396552,3.997631298656743,4.8,22.799999999999997,2.3874672772626644,2.092707337398137,0.0,0.0,0.0,0.0,72.4,129.19999999999996,5.683308895353128,4.981639890638422,0.0,0.0,0.0,0.0,19.2,20.799999999999997,2.2803508501982757,1.998815649328371,4.6,21.2,2.3021728866442674,2.0179435076334515,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,13.8,28.799999999999997,2.6832815729997477,2.352,11.0,0.0,0.0,0.0,10.2,12.800000000000002,1.788854381999832,1.568,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.2,12.800000000000002,1.788854381999832,1.568,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.8,28.799999999999997,2.6832815729997477,2.352,6.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,7.2,54.800000000000004,3.7013511046643495,3.244377290020382,5.0,14.0,1.8708286933869707,1.639853652006788,10.0,0.0,0.0,0.0,82.0,197.99999999999991,7.035623639735142,6.166996027240489,0.0,0.0,0.0,0.0,22.8,130.8,5.718391382198319,5.012391046197413,5.2,10.8,1.6431676725154984,1.4402999687565088,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,14.6,3.1999999999999993,0.8944271909999157,0.7839999999999998,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.6,3.1999999999999993,0.8944271909999157,0.7839999999999998,6.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,8.4,99.19999999999999,4.979959839195493,4.365127260458737,5.6,3.1999999999999997,0.8944271909999159,0.7839999999999999,0.0,0.0,0.0,0.0,94.2,482.8000000000002,10.986355173577817,9.629964901285986,0.0,0.0,0.0,0.0,25.0,182.00000000000003,6.745368781616021,5.912576426567355,5.2,10.8,1.6431676725154984,1.4402999687565088,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
